iter	RMSE
0	1833124.639
1	1805307.919
2	1772925.684
3	1743414.352
4	1716200.667
5	1687350.302
6	1661271.22
7	1635113.879
8	1607927.734
9	1583126.341
10	1561763.098
11	1537812.743
12	1519693.866
13	1497569.65
14	1476457.047
15	1458339.263
16	1439500.056
17	1423589.518
18	1404968.424
19	1388996.689
20	1373539.62
21	1359042.212
22	1344715.352
23	1330485.237
24	1317456.217
25	1304456.229
26	1291211.399
27	1279258.363
28	1266967.694
29	1256777.042
30	1246087.812
31	1235736.546
32	1225772.914
33	1215617.875
34	1207223.486
35	1199053.621
36	1188553.195
37	1177748.58
38	1169492.888
39	1160058.742
40	1152155.315
41	1141763.961
42	1135140.484
43	1128746.291
44	1120795.535
45	1114663.802
46	1107881.44
47	1100184.436
48	1092274.382
49	1086285.704
50	1079499.295
51	1073546.942
52	1067231.492
53	1061813.248
54	1056295.886
55	1051108.239
56	1046257.499
57	1039530.398
58	1034122.525
59	1028904.048
60	1023335.228
61	1019667.263
62	1016387.507
63	1013754.018
64	1011075.45
65	1006882.737
66	1003510.146
67	1000031.137
68	996765.4844
69	993566.3692
70	988866.6423
71	984376.0829
72	980193.0089
73	976420.4189
74	972463.0321
75	969885.2795
76	965505.4171
77	962640.6766
78	960083.3452
79	957123.1336
80	952640.9989
81	949790.3965
82	946812.5321
83	943618.1355
84	940149.405
85	937370.1594
86	934533.5765
87	930041.2181
88	927857.2899
89	926076.0657
90	923684.7307
91	921969.234
92	919017.7818
93	916220.6584
94	914275.0836
95	911512.6302
96	910503.7494
97	908462.3441
98	906852.0766
99	904997.4125
100	903386.5908
101	901204.0402
102	899401.7986
103	898476.2586
104	897044.9496
105	895003.0023
106	892890.1347
107	891063.2375
108	888013.7573
109	886110.988
110	883483.6793
111	882238.9233
112	878906.4028
113	876101.2662
114	875066.1888
115	873800.9196
116	872888.6355
117	870863.2688
118	869406.4341
119	867440.8908
120	866614.788
121	865133.686
122	862494.8818
123	860338.5751
