iter	Passed	Remaining
0	154	154811
1	161	80384
2	164	54755
3	167	41726
4	171	34132
5	174	28835
6	176	25068
7	178	22165
8	180	19890
9	183	18178
10	185	16712
11	189	15573
12	191	14509
13	192	13578
14	194	12747
15	196	12061
16	198	11468
17	200	10945
18	203	10482
19	204	10026
20	205	9596
21	207	9209
22	208	8852
23	210	8562
24	212	8284
25	214	8028
26	216	7799
27	217	7566
28	219	7341
29	220	7130
30	221	6932
31	223	6757
32	225	6606
33	228	6478
34	229	6328
35	232	6214
36	233	6079
37	235	5949
38	236	5825
39	237	5705
40	239	5593
41	242	5531
42	244	5437
43	246	5360
44	248	5268
45	250	5193
46	252	5111
47	256	5083
48	258	5011
49	260	4945
50	270	5030
51	271	4953
52	273	4887
53	274	4816
54	277	4767
55	278	4700
56	280	4633
57	281	4568
58	282	4505
59	284	4458
60	287	4422
61	290	4394
62	300	4467
63	301	4415
64	302	4355
65	304	4307
66	306	4267
67	307	4220
68	309	4173
69	310	4129
70	312	4087
71	313	4044
72	315	4005
73	318	3983
74	320	3955
75	324	3940
76	325	3901
77	327	3866
78	328	3829
79	329	3791
80	331	3761
81	334	3740
82	336	3714
83	337	3680
84	341	3677
85	343	3648
86	345	3621
87	347	3596
88	348	3568
89	351	3553
90	353	3527
91	354	3501
92	356	3475
93	357	3446
94	358	3419
95	360	3392
96	386	3598
97	388	3580
98	391	3560
99	392	3536
100	394	3511
101	397	3496
102	399	3478
103	400	3449
104	401	3423
105	403	3400
106	404	3377
107	409	3380
108	415	3393
109	417	3375
110	419	3358
111	421	3343
112	424	3334
113	429	3338
114	431	3317
115	432	3295
116	433	3274
117	435	3253
118	436	3230
119	438	3216
120	441	3210
121	443	3189
122	448	3196
123	449	3175
124	455	3188
125	460	3195
126	463	3184
127	464	3167
128	466	3148
129	467	3129
130	469	3111
131	470	3096
132	473	3085
133	475	3073
134	476	3050
135	477	3030
136	478	3013
137	479	2995
138	481	2981
139	482	2965
140	484	2949
141	487	2943
142	488	2930
143	503	2995
144	505	2978
145	522	3054
146	525	3048
147	526	3028
148	527	3012
149	528	2995
150	531	2985
151	533	2975
152	535	2963
153	538	2958
154	540	2943
155	541	2928
156	561	3016
157	563	3000
158	565	2992
159	567	2979
160	569	2969
161	570	2953
162	572	2937
163	573	2924
164	574	2908
165	576	2898
166	578	2887
167	588	2916
168	591	2908
169	595	2908
170	597	2896
171	599	2887
172	601	2874
173	602	2860
174	603	2847
175	605	2835
176	607	2822
177	609	2816
178	612	2807
179	614	2797
180	615	2785
181	616	2771
182	618	2759
183	619	2746
184	621	2736
185	623	2727
186	624	2717
187	630	2721
188	631	2709
189	633	2699
190	634	2688
191	636	2677
192	639	2672
193	659	2740
194	660	2727
195	662	2715
196	663	2705
197	665	2694
198	666	2682
199	667	2671
200	670	2665
201	672	2655
202	675	2652
203	676	2640
204	677	2629
205	679	2618
206	681	2608
207	682	2598
208	683	2587
209	687	2584
210	689	2578
211	691	2569
212	692	2558
213	693	2548
214	695	2538
215	697	2530
216	698	2521
217	702	2519
218	737	2628
219	741	2628
220	744	2624
221	749	2626
222	753	2624
223	755	2616
224	757	2608
225	759	2601
226	762	2595
227	765	2590
228	767	2583
229	768	2573
230	770	2564
231	771	2554
232	774	2549
233	776	2542
234	779	2537
235	783	2536
236	785	2528
237	786	2517
238	787	2507
239	788	2497
240	790	2489
241	791	2479
242	795	2477
243	798	2474
244	800	2466
245	801	2456
246	803	2448
247	804	2440
248	806	2431
249	808	2424
250	820	2448
251	822	2440
252	824	2434
253	826	2426
254	829	2423
255	830	2414
256	831	2405
257	833	2396
258	835	2389
259	836	2380
260	838	2373
261	847	2388
262	849	2380
263	851	2372
264	852	2364
265	853	2356
266	862	2367
267	863	2358
268	865	2351
269	866	2342
270	870	2341
271	872	2334
272	874	2328
273	876	2322
274	878	2316
275	880	2309
276	885	2310
277	887	2305
278	889	2298
279	891	2291
280	892	2283
281	893	2275
282	895	2268
283	897	2261
284	900	2259
285	901	2251
286	903	2243
287	904	2235
288	905	2228
289	909	2227
290	913	2226
291	915	2220
292	916	2212
293	918	2204
294	919	2197
295	920	2189
296	921	2182
